"region","fiscal_year","category","price_tier","total_orders","refunded_orders","lost_revenue","net_revenue","gross_margin","avg_order_value"
"APAC",2024,"Electronics","3. Premium (>$200)","13949","2014","1178673.77","6896678.26","1513368.10","578.92"
"APAC",2024,"Fashion","1. Budget (<$50)","7980","407","13137.37","236003.09","129712.79","31.22"
"APAC",2024,"Fashion","2. Mid-Range ($50-200)","9190","700","65744.51","788619.97","433611.82","92.97"
"APAC",2024,"Fashion","3. Premium (>$200)","787","83","22426.22","198559.97","109441.14","280.80"
"APAC",2024,"Home & Kitchen","1. Budget (<$50)","2747","91","3111.69","95688.84","36302.70","35.97"
"APAC",2024,"Home & Kitchen","2. Mid-Range ($50-200)","11938","554","61145.98","1243964.72","471816.20","109.32"
"APAC",2024,"Home & Kitchen","3. Premium (>$200)","3531","268","83095.29","1047775.53","397027.57","320.27"
"APAC",2024,"Sports","1. Budget (<$50)","4682","112","3787.00","156829.14","65921.93","34.31"
"APAC",2024,"Sports","2. Mid-Range ($50-200)","11647","449","46524.23","1122655.82","471532.67","100.38"
"APAC",2024,"Sports","3. Premium (>$200)","1679","103","28618.81","458969.12","192667.02","290.40"
"APAC",2025,"Beauty","1. Budget (<$50)","23622","411","11061.22","630064.43","378003.36","27.14"
"APAC",2025,"Beauty","2. Mid-Range ($50-200)","7311","197","14015.25","532973.86","319787.03","74.82"
"APAC",2025,"Beauty","3. Premium (>$200)","53","3","758.48","12126.35","7353.56","243.11"
"APAC",2025,"Electronics","1. Budget (<$50)","170","13","525.05","6434.64","1394.88","40.94"
"APAC",2025,"Electronics","2. Mid-Range ($50-200)","7242","677","94092.81","910150.80","200265.44","138.67"
"APAC",2025,"Electronics","3. Premium (>$200)","24314","3312","1883427.77","12083906.30","2660875.74","574.46"
"APAC",2025,"Fashion","1. Budget (<$50)","13891","712","22001.09","409460.07","225074.19","31.06"
"APAC",2025,"Fashion","2. Mid-Range ($50-200)","16034","1218","111900.55","1365014.26","750823.83","92.11"
"APAC",2025,"Fashion","3. Premium (>$200)","1347","162","46986.19","335639.07","185193.01","284.06"
"APAC",2025,"Home & Kitchen","1. Budget (<$50)","4668","150","5605.52","162423.49","61693.96","36.00"
"APAC",2025,"Home & Kitchen","2. Mid-Range ($50-200)","20970","1048","114143.85","2167904.19","823706.98","108.82"
"APAC",2025,"Home & Kitchen","3. Premium (>$200)","6190","447","141586.71","1830425.40","694390.44","318.58"
"APAC",2025,"Sports","1. Budget (<$50)","8455","261","8916.77","282838.79","118750.66","34.51"
"APAC",2025,"Sports","2. Mid-Range ($50-200)","20793","789","79904.50","2005895.92","841082.07","100.31"
"APAC",2025,"Sports","3. Premium (>$200)","3026","187","54630.36","830390.87","348589.83","292.47"
"EMEA",2023,"Beauty","1. Budget (<$50)","4997","88","2716.90","146283.21","87791.01","29.82"
"EMEA",2023,"Beauty","2. Mid-Range ($50-200)","2868","109","8555.31","221727.56","132841.43","80.29"
"EMEA",2023,"Beauty","3. Premium (>$200)","40","1","206.15","9097.86","5480.92","232.60"
"EMEA",2023,"Electronics","1. Budget (<$50)","20","0","0.00","766.87","181.01","38.34"
"EMEA",2023,"Electronics","2. Mid-Range ($50-200)","1147","125","17097.84","143342.88","31506.99","139.88"
"EMEA",2023,"Electronics","3. Premium (>$200)","6757","1143","774689.53","3841352.68","844748.53","683.15"
"EMEA",2023,"Fashion","1. Budget (<$50)","2449","149","4960.05","75384.34","41525.62","32.81"
"EMEA",2023,"Fashion","2. Mid-Range ($50-200)","4637","435","41480.68","416926.93","229552.36","98.86"
"EMEA",2023,"Fashion","3. Premium (>$200)","684","96","27192.58","169568.63","93469.29","287.66"
"EMEA",2023,"Home & Kitchen","1. Budget (<$50)","649","38","1401.59","22828.34","8663.70","37.33"
"EMEA",2023,"Home & Kitchen","2. Mid-Range ($50-200)","4797","288","34498.33","526681.80","200045.51","116.99"
"EMEA",2023,"Home & Kitchen","3. Premium (>$200)","2315","228","81220.77","745770.66","283690.54","357.23"
"EMEA",2023,"Sports","1. Budget (<$50)","1278","42","1399.48","43828.63","18366.28","35.39"
"EMEA",2023,"Sports","2. Mid-Range ($50-200)","5315","258","26598.89","543216.92","228114.71","107.21"
"EMEA",2023,"Sports","3. Premium (>$200)","1274","94","30022.51","360237.65","150783.89","306.33"
"EMEA",2024,"Beauty","1. Budget (<$50)","9600","232","6740.34","282532.50","169549.01","30.13"
"EMEA",2024,"Beauty","2. Mid-Range ($50-200)","5588","176","14198.92","430882.77","258592.99","79.65"
"EMEA",2024,"Beauty","3. Premium (>$200)","61","1","201.11","15254.78","9143.90","253.38"
"EMEA",2024,"Electronics","1. Budget (<$50)","26","1","49.84","1024.07","230.00","41.30"
"EMEA",2024,"Electronics","2. Mid-Range ($50-200)","2192","224","32744.30","277966.13","61628.30","141.75"
"EMEA",2024,"Electronics","3. Premium (>$200)","13576","2383","1594326.63","7708140.60","1695789.78","685.21"
"EMEA",2024,"Fashion","1. Budget (<$50)","4924","317","10626.69","151511.67","83365.46","32.93"
"EMEA",2024,"Fashion","2. Mid-Range ($50-200)","9262","917","91876.97","824915.24","453735.57","98.98"
"EMEA",2024,"Fashion","3. Premium (>$200)","1304","192","57162.50","333943.27","183913.16","299.93"
"EMEA",2024,"Home & Kitchen","1. Budget (<$50)","1268","57","2075.48","44951.55","17014.93","37.09"
"EMEA",2024,"Home & Kitchen","2. Mid-Range ($50-200)","9770","610","70161.21","1063196.77","403011.21","116.00"
"EMEA",2024,"Home & Kitchen","3. Premium (>$200)","4758","461","150589.45","1460492.44","554846.91","338.60"
"EMEA",2024,"Sports","1. Budget (<$50)","2492","94","3387.83","85766.30","36068.25","35.78"
"EMEA",2024,"Sports","2. Mid-Range ($50-200)","10222","512","55120.61","1036381.34","435171.29","106.78"
"EMEA",2024,"Sports","3. Premium (>$200)","2484","169","51644.57","706206.28","296580.97","305.09"
"EMEA",2025,"Beauty","1. Budget (<$50)","16213","369","11174.08","474820.37","284809.81","29.98"
"EMEA",2025,"Beauty","2. Mid-Range ($50-200)","9671","335","27732.52","749452.84","449869.70","80.36"
"EMEA",2025,"Beauty","3. Premium (>$200)","148","8","1906.89","34527.84","20912.23","246.18"
"EMEA",2025,"Electronics","1. Budget (<$50)","59","6","235.67","2168.80","488.16","40.75"
"EMEA",2025,"Electronics","2. Mid-Range ($50-200)","3844","429","61937.65","490928.84","108059.87","143.83"
"EMEA",2025,"Electronics","3. Premium (>$200)","22921","4023","2845513.88","13093084.61","2872090.86","695.37"
"EMEA",2025,"Fashion","1. Budget (<$50)","8728","557","18200.84","269437.36","148199.32","32.96"
"EMEA",2025,"Fashion","2. Mid-Range ($50-200)","16640","1506","145819.04","1491210.35","820353.23","98.38"
"EMEA",2025,"Fashion","3. Premium (>$200)","2432","359","105811.86","613539.38","337784.08","295.79"
"EMEA",2025,"Home & Kitchen","1. Budget (<$50)","2279","104","3963.82","81289.34","30921.53","37.41"
"EMEA",2025,"Home & Kitchen","2. Mid-Range ($50-200)","17148","1059","122425.83","1869147.50","710112.99","116.14"
"EMEA",2025,"Home & Kitchen","3. Premium (>$200)","8288","764","266847.19","2583061.30","981606.75","343.86"
"EMEA",2025,"Sports","1. Budget (<$50)","4356","139","4936.20","152549.33","64115.77","36.15"
"EMEA",2025,"Sports","2. Mid-Range ($50-200)","17772","838","89103.36","1822565.72","765713.80","107.57"
"EMEA",2025,"Sports","3. Premium (>$200)","4345","345","107924.43","1242248.15","521777.95","310.74"
"LATAM",2023,"Beauty","1. Budget (<$50)","3928","74","1778.18","96064.85","57677.68","24.91"
"LATAM",2023,"Beauty","2. Mid-Range ($50-200)","737","15","1094.23","52687.32","31513.38","72.97"
"LATAM",2023,"Beauty","3. Premium (>$200)","4","1","236.59","789.63","485.39","256.56"
"LATAM",2023,"Electronics","1. Budget (<$50)","56","2","78.32","2092.87","473.73","38.77"
"LATAM",2023,"Electronics","2. Mid-Range ($50-200)","1421","152","20489.55","167726.97","37084.97","132.45"
"LATAM",2023,"Electronics","3. Premium (>$200)","3137","517","234262.65","1380405.99","303448.46","514.72"
"LATAM",2023,"Fashion","1. Budget (<$50)","2639","164","5016.17","72771.79","40129.66","29.48"
"LATAM",2023,"Fashion","2. Mid-Range ($50-200)","2181","162","13788.96","177641.97","97690.45","87.77"
"LATAM",2023,"Fashion","3. Premium (>$200)","106","18","4890.98","24207.36","13336.33","274.51"
"LATAM",2023,"Home & Kitchen","1. Budget (<$50)","1038","43","1550.83","34138.97","13064.58","34.38"
"LATAM",2023,"Home & Kitchen","2. Mid-Range ($50-200)","3198","217","23811.22","309201.60","117960.99","104.13"
"LATAM",2023,"Home & Kitchen","3. Premium (>$200)","669","66","18744.77","189853.89","72493.04","311.81"
"LATAM",2023,"Sports","1. Budget (<$50)","1706","37","1212.62","54801.68","23044.38","32.83"
"LATAM",2023,"Sports","2. Mid-Range ($50-200)","2954","135","13015.42","269849.38","113207.78","95.76"
"LATAM",2023,"Sports","3. Premium (>$200)","279","25","6765.87","72754.76","30520.06","285.02"
"LATAM",2024,"Beauty","1. Budget (<$50)","8002","140","3594.98","193001.04","115775.34","24.57"
"LATAM",2024,"Beauty","2. Mid-Range ($50-200)","1460","53","3950.04","100934.66","60510.74","71.84"
"LATAM",2024,"Beauty","3. Premium (>$200)","6","1","233.82","1192.81","726.55","237.77"
"LATAM",2024,"Electronics","1. Budget (<$50)","106","12","457.03","3738.40","832.64","39.58"
"LATAM",2024,"Electronics","2. Mid-Range ($50-200)","2884","301","39916.69","343979.57","75362.87","133.11"
"LATAM",2024,"Electronics","3. Premium (>$200)","6513","1037","526283.81","2809498.65","618358.46","512.17"
"LATAM",2024,"Fashion","1. Budget (<$50)","5285","300","9021.95","145661.39","80116.01","29.27"
"LATAM",2024,"Fashion","2. Mid-Range ($50-200)","4008","346","31532.98","321686.26","177130.78","88.13"
"LATAM",2024,"Fashion","3. Premium (>$200)","219","31","8984.03","49254.39","26944.32","265.93"
"LATAM",2024,"Home & Kitchen","1. Budget (<$50)","1975","83","2784.49","66078.13","25136.04","34.87"
"LATAM",2024,"Home & Kitchen","2. Mid-Range ($50-200)","6150","344","36297.58","606134.84","230275.93","104.46"
"LATAM",2024,"Home & Kitchen","3. Premium (>$200)","1130","86","27197.99","320055.59","121825.69","307.30"
"LATAM",2024,"Sports","1. Budget (<$50)","3386","115","3846.32","107745.28","45270.08","32.96"
"LATAM",2024,"Sports","2. Mid-Range ($50-200)","5568","244","23094.74","510529.09","214484.79","95.84"
"LATAM",2024,"Sports","3. Premium (>$200)","529","35","9962.06","143481.61","60336.61","290.06"
"LATAM",2025,"Beauty","1. Budget (<$50)","13384","251","6555.05","327914.26","196767.16","24.99"
"LATAM",2025,"Beauty","2. Mid-Range ($50-200)","2485","76","5529.51","172058.10","102992.38","71.46"
"LATAM",2025,"Beauty","3. Premium (>$200)","11","2","446.31","2552.33","1528.84","272.60"
"LATAM",2025,"Electronics","1. Budget (<$50)","189","20","771.76","6751.17","1462.79","39.80"
"LATAM",2025,"Electronics","2. Mid-Range ($50-200)","4833","512","68565.72","574528.75","126883.92","133.06"
"LATAM",2025,"Electronics","3. Premium (>$200)","11102","1796","910234.66","4699946.24","1032633.38","505.33"
"LATAM",2025,"Fashion","1. Budget (<$50)","8683","568","16543.46","238932.40","131372.44","29.42"
"LATAM",2025,"Fashion","2. Mid-Range ($50-200)","6880","564","49434.07","557203.92","306596.27","88.17"
"LATAM",2025,"Fashion","3. Premium (>$200)","407","62","17517.26","95052.90","52339.10","276.59"
"LATAM",2025,"Home & Kitchen","1. Budget (<$50)","3480","118","4132.42","116678.80","44250.05","34.72"
"LATAM",2025,"Home & Kitchen","2. Mid-Range ($50-200)","10632","640","64891.64","1038417.70","394650.81","103.77"
"LATAM",2025,"Home & Kitchen","3. Premium (>$200)","2110","216","70415.67","575514.72","219117.21","306.13"
"LATAM",2025,"Sports","1. Budget (<$50)","5832","169","5692.56","186961.31","78472.91","33.03"
"LATAM",2025,"Sports","2. Mid-Range ($50-200)","9688","404","38224.17","882864.88","369857.62","95.08"
"LATAM",2025,"Sports","3. Premium (>$200)","954","62","17209.15","253177.13","106672.81","283.42"
"North America",2023,"Beauty","1. Budget (<$50)","4582","119","3663.59","141157.61","84672.58","31.61"
"North America",2023,"Beauty","2. Mid-Range ($50-200)","3955","134","11832.65","314985.48","189114.04","82.63"
"North America",2023,"Beauty","3. Premium (>$200)","96","4","1010.08","23078.88","13878.65","250.93"
"North America",2023,"Electronics","1. Budget (<$50)","8","1","37.68","289.15","69.40","40.85"
"North America",2023,"Electronics","2. Mid-Range ($50-200)","890","118","16352.91","112467.96","24741.73","144.74"
"North America",2023,"Electronics","3. Premium (>$200)","7539","1567","1218590.76","4609028.27","1017929.09","773.00"
"North America",2023,"Fashion","1. Budget (<$50)","2127","159","5481.07","66287.12","36523.92","33.74"
"North America",2023,"Fashion","2. Mid-Range ($50-200)","5467","581","59589.79","501466.18","275797.96","102.63"
"North America",2023,"Fashion","3. Premium (>$200)","1004","179","55316.88","255500.19","140427.02","309.58"
"North America",2023,"Home & Kitchen","1. Budget (<$50)","463","21","807.44","16718.90","6313.15","37.85"
"North America",2023,"Home & Kitchen","2. Mid-Range ($50-200)","4892","354","40770.99","545326.38","207640.03","119.81"
"North America",2023,"Home & Kitchen","3. Premium (>$200)","3159","339","125022.79","1030494.66","392270.12","365.79"
"North America",2023,"Sports","1. Budget (<$50)","999","43","1734.47","35012.94","14705.63","36.78"
"North America",2023,"Sports","2. Mid-Range ($50-200)","5840","305","34347.13","622400.33","261471.33","112.46"
"North America",2023,"Sports","3. Premium (>$200)","1968","182","59998.55","565120.83","237303.85","317.64"
"North America",2024,"Beauty","1. Budget (<$50)","8841","229","7386.12","272214.54","163434.16","31.63"
"North America",2024,"Beauty","2. Mid-Range ($50-200)","7480","269","22147.35","601028.13","360560.18","83.31"
"North America",2024,"Beauty","3. Premium (>$200)","198","12","3070.44","47914.87","28806.15","257.50"
"North America",2024,"Electronics","1. Budget (<$50)","24","2","69.11","866.46","200.06","38.98"
"North America",2024,"Electronics","2. Mid-Range ($50-200)","1764","247","36387.94","220454.40","48043.07","145.60"
"North America",2024,"Electronics","3. Premium (>$200)","14785","2901","2206048.03","8990206.19","1978187.32","757.27"
"North America",2024,"Fashion","1. Budget (<$50)","4270","327","11001.07","133969.17","73722.38","33.95"
"North America",2024,"Fashion","2. Mid-Range ($50-200)","10515","1074","109196.18","963383.49","529675.64","102.00"
"North America",2024,"Fashion","3. Premium (>$200)","1871","324","97232.80","473474.07","260444.48","305.03"
"North America",2024,"Home & Kitchen","1. Budget (<$50)","912","35","1328.22","33310.53","12659.24","37.98"
"North America",2024,"Home & Kitchen","2. Mid-Range ($50-200)","9789","705","85198.32","1089584.88","414146.56","120.01"
"North America",2024,"Home & Kitchen","3. Premium (>$200)","6200","678","248060.25","2016736.89","765307.50","365.29"
"North America",2024,"Sports","1. Budget (<$50)","1894","72","2592.30","67085.61","28187.47","36.79"
"North America",2024,"Sports","2. Mid-Range ($50-200)","10889","664","74249.95","1150612.52","483383.87","112.49"
"North America",2024,"Sports","3. Premium (>$200)","3809","361","118491.30","1108818.71","465887.51","322.21"
"North America",2025,"Beauty","1. Budget (<$50)","15128","386","12275.78","467258.69","280343.28","31.70"
"North America",2025,"Beauty","2. Mid-Range ($50-200)","12898","451","37148.94","1038309.73","623011.78","83.38"
"North America",2025,"Beauty","3. Premium (>$200)","315","19","4615.56","74990.11","44843.54","252.72"
"North America",2025,"Electronics","1. Budget (<$50)","32","0","0.00","1289.27","272.60","40.29"
"North America",2025,"Electronics","2. Mid-Range ($50-200)","2963","384","56346.25","374586.66","82767.13","145.44"
"North America",2025,"Electronics","3. Premium (>$200)","25483","5089","3968758.38","15859309.37","3490582.35","778.09"
"North America",2025,"Fashion","1. Budget (<$50)","7177","516","17585.86","225542.23","124122.43","33.88"
"North America",2025,"Fashion","2. Mid-Range ($50-200)","17988","1949","196310.83","1632714.09","897635.95","101.68"
"North America",2025,"Fashion","3. Premium (>$200)","3372","561","171588.75","852052.08","469136.84","303.57"
"North America",2025,"Home & Kitchen","1. Budget (<$50)","1566","85","3193.52","56288.70","21398.73","37.98"
"North America",2025,"Home & Kitchen","2. Mid-Range ($50-200)","15996","1139","137747.15","1786142.77","678083.41","120.27"
"North America",2025,"Home & Kitchen","3. Premium (>$200)","10328","1129","402606.96","3334207.62","1268202.43","361.81"
"North America",2025,"Sports","1. Budget (<$50)","3346","143","5245.89","117930.00","49520.19","36.81"
"North America",2025,"Sports","2. Mid-Range ($50-200)","18933","1031","114045.93","1996289.82","839265.73","111.46"
"North America",2025,"Sports","3. Premium (>$200)","6303","552","172310.72","1867977.32","786143.01","323.70"
